month,metric,orientation,units,value,source_label,excel_row
jan,exterior_temperature,,degF,28.4,Exterior temperature,26
feb,exterior_temperature,,degF,30.02,Exterior temperature,26
mar,exterior_temperature,,degF,37.4,Exterior temperature,26
apr,exterior_temperature,,degF,47.3,Exterior temperature,26
may,exterior_temperature,,degF,59.828,Exterior temperature,26
jun,exterior_temperature,,degF,69.98,Exterior temperature,26
jul,exterior_temperature,,degF,75.74,Exterior temperature,26
aug,exterior_temperature,,degF,74.48,Exterior temperature,26
sep,exterior_temperature,,degF,67.28,Exterior temperature,26
oct,exterior_temperature,,degF,55.04,Exterior temperature,26
nov,exterior_temperature,,degF,44.06,Exterior temperature,26
dec,exterior_temperature,,degF,33.08,Exterior temperature,26
jan,solar_radiation,north,kWh/ft2,1.3006425596,Radiation North,27
feb,solar_radiation,north,kWh/ft2,1.48644863955,Radiation North,27
mar,solar_radiation,north,kWh/ft2,2.32257599929,Radiation North,27
apr,solar_radiation,north,kWh/ft2,3.06580031906,Radiation North,27
may,solar_radiation,north,kWh/ft2,4.27353983869,Radiation North,27
jun,solar_radiation,north,kWh/ft2,4.45934591864,Radiation North,27
jul,solar_radiation,north,kWh/ft2,4.55224895861,Radiation North,27
aug,solar_radiation,north,kWh/ft2,3.43741247895,Radiation North,27
sep,solar_radiation,north,kWh/ft2,2.69418815918,Radiation North,27
oct,solar_radiation,north,kWh/ft2,1.9509638394,Radiation North,27
nov,solar_radiation,north,kWh/ft2,1.39354559957,Radiation North,27
dec,solar_radiation,north,kWh/ft2,1.11483647966,Radiation North,27
jan,solar_radiation,east,kWh/ft2,3.71612159886,Radiation East,28
feb,solar_radiation,east,kWh/ft2,4.64515199858,Radiation East,28
mar,solar_radiation,east,kWh/ft2,6.78192191793,Radiation East,28
apr,solar_radiation,east,kWh/ft2,7.80385535761,Radiation East,28
may,solar_radiation,east,kWh/ft2,9.10449791722,Radiation East,28
jun,solar_radiation,east,kWh/ft2,8.91869183727,Radiation East,28
jul,solar_radiation,east,kWh/ft2,9.29030399716,Radiation East,28
aug,solar_radiation,east,kWh/ft2,8.54707967739,Radiation East,28
sep,solar_radiation,east,kWh/ft2,6.96772799787,Radiation East,28
oct,solar_radiation,east,kWh/ft2,5.5741823983,Radiation East,28
nov,solar_radiation,east,kWh/ft2,3.53031551892,Radiation East,28
dec,solar_radiation,east,kWh/ft2,2.87999423912,Radiation East,28
jan,solar_radiation,south,kWh/ft2,9.84772223699,Radiation South,29
feb,solar_radiation,south,kWh/ft2,9.75481919702,Radiation South,29
mar,solar_radiation,south,kWh/ft2,10.5909465568,Radiation South,29
apr,solar_radiation,south,kWh/ft2,9.01159487725,Radiation South,29
may,solar_radiation,south,kWh/ft2,8.1754675175,Radiation South,29
jun,solar_radiation,south,kWh/ft2,7.5251462377,Radiation South,29
