demand_type,contribution_type,item,variant_id,units,value,source_field_id,source_label,excel_row
heating,loss,walls_ag,code_minimum,kWh,8978.58787592,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,code_minimum,kWh,702.644159643,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,code_minimum,kWh,5731.45149789,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,code_minimum,kWh,7805.64366595,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,code_minimum,kWh,13405.8697271,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,code_minimum,kWh,8689.13757928,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,code_minimum,kWh,9701.99796652,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,code_minimum,kWh,36344.3691953,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,code_minimum,kWh,517.526733443,heating_demand.north,North,390
heating,gain,east,code_minimum,kWh,2446.18970364,heating_demand.east,East,391
heating,gain,south,code_minimum,kWh,8555.4008295,heating_demand.south,South,392
heating,gain,west,code_minimum,kWh,2100.71440261,heating_demand.west,West,393
heating,gain,horizontal,code_minimum,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,code_minimum,kWh,3308.37074747,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,code_minimum,kWh,5723.9886993,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,code_minimum,kWh,5265.19399192,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,code_minimum,kWh,5142.04625539,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,code_minimum,kWh,6543.68987178,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,walls_bg,code_minimum,kWh,627.863022071,cooling_demand.walls_bg,Walls (BG),401
cooling,loss,roofs,code_minimum,kWh,4177.14251235,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,code_minimum,kWh,6974.9032338,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,code_minimum,kWh,9770.33974247,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,code_minimum,kWh,6332.7354321,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,code_minimum,kWh,3126.42121325,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,code_minimum,kWh,1401.32483266,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,code_minimum,kWh,494.445208679,cooling_demand.north,North,414
cooling,gain,east,code_minimum,kWh,1450.55537954,cooling_demand.east,East,415
cooling,gain,south,code_minimum,kWh,6700.05468073,cooling_demand.south,South,416
cooling,gain,west,code_minimum,kWh,2145.35831452,cooling_demand.west,West,417
cooling,gain,horizontal,code_minimum,kWh,0,cooling_demand.horizontal,Horizontal,418
cooling,gain,sum_opaque_areas,code_minimum,kWh,3769.40721369,cooling_demand.sum_opaque_areas,Sum opaque areas,419
cooling,gain,internal_gains,code_minimum,kWh,6316.86442908,cooling_demand.internal_gains,Internal Gains,420
cooling,limit,demand_limit,code_minimum,kWh,0,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,improved_envelope,kWh,7097.10339444,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,improved_envelope,kWh,547.706852461,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,improved_envelope,kWh,4878.90542563,heating_demand.roofs,Roofs,378
