row_type,room_name,amount,allocation_to_vent_unit,room_area_ft2,room_volume_ft3,room_height_ft,v_sup_high_cfm,v_eta_high_cfm,v_sup_med_cfm,v_eta_med_cfm,v_sup_low_cfm,v_eta_low_cfm,excel_row
room,001-CRAWLSPACE,1,1,1392.25667053,4176.77226559,3.00000161999,10,10,7.7,7.7,0,0,31
room,002-CRAWLSPACE,1,1,633.248887743,1899.74768843,3.00000161999,10,10,7.7,7.7,0,0,32
room,100-STAIR,1,1,63.0088064594,516.67249179,8.20000442797,0,0,0,0,0,0,33
room,101-MUDROOM,1,1,109.95764403,901.653167626,8.20000442797,0,25,0,19.25,0,0,34
room,102-PANTRY,1,1,147.148489456,1206.6182647,8.20000442797,0,25,0,19.25,0,0,35
room,103-KITCHEN,1,1,251.408429472,2061.55023419,8.20000442797,0,50,0,38.5,0,0,36
room,104-LIVING + DINING,1,1,624.942662955,5124.53260169,8.20000442797,25,0,19.25,0,0,0,37
room,105-MULTI-PURPOSE,1,1,382.386191901,3135.5684657,8.20000442797,25,0,19.25,0,0,0,38
room,106-BATH,1,1,75.9994216104,623.195593514,8.20000442797,0,25,0,19.25,0,0,39
room,107-BEDROOM 4,1,1,147.213910712,1207.15471928,8.20000442797,25,0,19.25,0,0,0,40
room,108-BEDROOM 5,1,1,147.284624036,1207.73456885,8.20000442797,25,0,19.25,0,0,0,41
room,110-HALL,1,1,58.8553549481,482.614171018,8.20000442797,0,0,0,0,0,0,42
room,200-STAIR,1,1,56.5833337868,463.983587442,8.20000442797,0,0,0,0,0,0,43
room,201-LAUNDRY HALL,1,1,109.447289037,897.468254422,8.20000442797,0,25,0,19.25,0,0,44
room,202-PRIMARY BEDROOM,1,1,446.88953616,3664.49617406,8.20000442797,25,0,19.25,0,0,0,45
room,203-BATH 1,1,1,100.435124486,823.568465223,8.20000442797,0,25,0,19.25,0,0,46
room,205-OFFICE,1,1,58.5896699421,480.435552793,8.20000442797,25,0,19.25,0,0,0,47
room,206-BATH 2,1,1,82.8514553134,679.3823002,8.20000442797,0,25,0,19.25,0,0,48
room,207-BEDROOM 2,1,1,176.095206112,1443.98146937,8.20000442797,25,0,19.25,0,0,0,49
room,208-BEDROOM 3,1,1,176.173774608,1444.62573138,8.20000442797,25,0,19.25,0,0,0,50
room,209-MECH,1,1,210.179944658,1723.47647627,8.20000442797,0,0.600000000001,0,0.462000000001,0,0,51
room,301-ATTIC,1,1,472.413035433,3873.78898105,8.20000442797,0,0.5,0,0.385,0,0,52
room,Kitchen Extract Hood - ON,1,2,269.0977605,2207.16667,8.2020997375,623.89244574,623.89244574,0,0,0,0,54
room,Kitchen Extract Hood - OFF,0,3,269.0977605,0,8.2020997375,0,0,0,0,0,0,55
total,Totals,,,6461.56498439,40246.1878946,,843.89244574,844.99244574,169.4,170.247,0,0,
