section,field_id,phpp_label,variant_id,variant_name,datatype,units,value,excel_row
geometry,geometry.tfa,TFA,code_minimum,Code Minimum,TFA,m2,351.012932795,316
geometry,geometry.tfa,TFA,improved_envelope,Improved Envelope,TFA,m2,351.012932795,316
geometry,geometry.tfa,TFA,as_drawn_envelope,As-Drawn Envelope,TFA,m2,351.012932795,316
geometry,geometry.tfa,TFA,basic_erv,+ Basic ERV,TFA,m2,351.012932795,316
geometry,geometry.tfa,TFA,elec_heat_pumps,+ Elec. Heat Pumps,TFA,m2,351.012932795,316
geometry,geometry.tfa,TFA,passive_house,Passive House,TFA,m2,351.012932795,316
geometry,geometry.vv,VV,code_minimum,Code Minimum,VV,m3,877.532331988,317
geometry,geometry.vv,VV,improved_envelope,Improved Envelope,VV,m3,877.532331988,317
geometry,geometry.vv,VV,as_drawn_envelope,As-Drawn Envelope,VV,m3,877.532331988,317
geometry,geometry.vv,VV,basic_erv,+ Basic ERV,VV,m3,877.532331988,317
geometry,geometry.vv,VV,elec_heat_pumps,+ Elec. Heat Pumps,VV,m3,877.532331988,317
geometry,geometry.vv,VV,passive_house,Passive House,VV,m3,877.532331988,317
geometry,geometry.vn50,Vn50,code_minimum,Code Minimum,Vn50,m3,1000,318
geometry,geometry.vn50,Vn50,improved_envelope,Improved Envelope,Vn50,m3,1000,318
geometry,geometry.vn50,Vn50,as_drawn_envelope,As-Drawn Envelope,Vn50,m3,1000,318
geometry,geometry.vn50,Vn50,basic_erv,+ Basic ERV,Vn50,m3,1000,318
geometry,geometry.vn50,Vn50,elec_heat_pumps,+ Elec. Heat Pumps,Vn50,m3,1000,318
geometry,geometry.vn50,Vn50,passive_house,Passive House,Vn50,m3,1000,318
geometry,geometry.building_envelope_area,Building Envelope Area,code_minimum,Code Minimum,Building Envelope Area,m2,1189.28756754,319
geometry,geometry.building_envelope_area,Building Envelope Area,improved_envelope,Improved Envelope,Building Envelope Area,m2,1189.28756754,319
geometry,geometry.building_envelope_area,Building Envelope Area,as_drawn_envelope,As-Drawn Envelope,Building Envelope Area,m2,1189.28756754,319
geometry,geometry.building_envelope_area,Building Envelope Area,basic_erv,+ Basic ERV,Building Envelope Area,m2,1189.28756754,319
